Link ID,Start Node ,Start Node Eastings,Start Node Northings,End Node,End Node Eastings,End Node Northings,Region,Road Type
991064-992187,991064,113.9954279,22.42325416,992187,113.9952742,22.42314374,TM,MAJOR ROUTE
991065-992190,991065,113.9867043,22.41548893,992190,113.9865117,22.41546602,TM,MAJOR ROUTE
991066-992193,991066,113.9797495,22.41231973,992193,113.9796983,22.41214551,TM,MAJOR ROUTE
991067-992196,991067,113.9772265,22.4010758,992196,113.9771902,22.40089839,TM,MAJOR ROUTE
991068-992199,991068,113.9766645,22.39487664,992199,113.9767139,22.39470195,TM,MAJOR ROUTE
991069-992202,991069,113.977947,22.39034446,992202,113.9779961,22.39016971,TM,MAJOR ROUTE
991070-992205,991070,113.9814529,22.38227314,992205,113.9815812,22.38213759,TM,MAJOR ROUTE
991071-992208,991071,113.9910721,22.37529018,992208,113.9912575,22.37534373,TM,MAJOR ROUTE
991072-992211,991072,113.9982365,22.37282681,992211,113.9983275,22.37266728,TM,MAJOR ROUTE
991073-992214,991073,114.0067925,22.36738641,992214,114.0069778,22.36733228,TM,MAJOR ROUTE
991074-992217,991074,114.0142833,22.36427528,992217,114.0143811,22.36411922,TM,MAJOR ROUTE
991075-992220,991075,114.0191393,22.35842855,992220,114.0192802,22.35830428,TM,MAJOR ROUTE
991076-992223,991076,114.0272616,22.35602485,992223,114.027455,22.35604123,TM,MAJOR ROUTE
991077-992226,991077,114.0387074,22.36227001,992226,114.0388685,22.36237095,TM,MAJOR ROUTE
991078-992229,991078,114.0538921,22.3668599,992229,114.0540785,22.36691031,TM,MAJOR ROUTE
991079-992232,991079,114.065906,22.36660295,992232,114.0660793,22.36652146,TM,MAJOR ROUTE
991080-992235,991080,114.0753143,22.3717321,992235,114.0755082,22.37172727,TM,MAJOR ROUTE
